Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
DANIEL ALMEIDA;2023;20237568;Bancada;R$ 2,673,744,74;MG;Ensino Superior;Ensino Fundamental;DF (UF);21/01/2023
GUILHERME MUSSI;2023;20236910;Individual;R$ 1,787,331,33;SP;Educação Infantil;Ensino Médio;RJ (UF);19/06/2023
ALENCAR SANTANA;2023;20238154;Bancada;R$ 3,611,105,26;MG;Ensino Médio;Ensino Superior;GO (UF);11/01/2023
DANIEL ALMEIDA;2023;20231647;Bancada;R$ 4,485,363,41;RJ;Ensino Fundamental;Saneamento Básico;GO (UF);07/10/2023
BACELAR;2023;20239784;Comissão;R$ 4,775,346,59;RS;Atenção Básica à Saúde;Ensino Superior;DF (UF);01/03/2023
GUILHERME MUSSI;2023;20235882;Bancada;R$ 352,779,10;BA;Ensino Superior;Ensino Médio;RS (UF);07/11/2023
GUILHERME MUSSI;2023;20239644;Comissão;R$ 4,928,871,68;RS;Ensino Superior;Ensino Médio;SP (UF);04/04/2023
ELICORRÊA;2023;20232997;Individual;R$ 3,631,535,01;PR;Segurança Pública;Assistência Hospitalar e Ambulatorial;SP (UF);06/07/2023
JULIO CESAR RIBEIRO;2023;20232368;Comissão;R$ 2,664,886,76;DF;Saneamento Básico;Vigilância Epidemiológica;GO (UF);16/12/2023
DEPUTADO EDUARDO BARBOSA;2023;20231598;Bancada;R$ 4,207,643,97;PE;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;GO (UF);15/12/2023
ELICORRÊA;2023;20232138;Comissão;R$ 1,360,941,12;PE;Ensino Superior;Atenção Básica à Saúde;MG (UF);23/01/2023
EDUARDO BARBOSA;2023;20235092;Individual;R$ 1,898,261,84;GO;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;BA (UF);18/07/2023
DANIEL ALMEIDA;2023;20238120;Comissão;R$ 4,907,484,92;DF;Assistência Hospitalar e Ambulatorial;Saneamento Básico;SP (UF);26/09/2023
JULIO CESAR RIBEIRO;2023;20233062;Bancada;R$ 404,020,95;SP;Educação Infantil;Ensino Médio;DF (UF);02/05/2023
CARLOS ZARATTINI;2023;20234207;Bancada;R$ 2,064,114,18;BA;Infraestrutura Urbana;Educação Infantil;PR (UF);28/09/2023
CARLOS ZARATTINI;2023;20236976;Individual;R$ 2,841,690,16;MG;Educação Infantil;Ensino Fundamental;PR (UF);08/05/2023
GUILHERME MUSSI FILHO;2023;20231593;Comissão;R$ 495,653,97;PR;Infraestrutura Urbana;Vigilância Epidemiológica;MG (UF);12/04/2023
GUILHERME MUSSI FILHO;2023;20237776;Individual;R$ 1,838,526,41;GO;Atenção Básica à Saúde;Infraestrutura Urbana;RS (UF);18/02/2023
BACELAR;2023;20235899;Individual;R$ 2,189,723,46;SC;Ensino Superior;Ensino Médio;SP (UF);16/11/2023
DEPUTADO CARLOS ZARATTINI;2023;20237369;Comissão;R$ 2,025,596,22;SP;Segurança Pública;Segurança Pública;SC (UF);07/06/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20235544;Bancada;R$ 2,783,659,98;GO;Ensino Superior;Saneamento Básico;SP (UF);04/09/2023
ELICORRÊA;2023;20232274;Bancada;R$ 3,296,032,75;MG;Vigilância Epidemiológica;Infraestrutura Urbana;SC (UF);07/09/2023
ALENCAR SANTANA;2023;20237493;Comissão;R$ 501,958,43;RS;Vigilância Epidemiológica;Segurança Pública;PR (UF);10/10/2023
DEPUTADO BACELAR;2023;20239909;Comissão;R$ 3,621,803,25;PE;Saneamento Básico;Vigilância Epidemiológica;GO (UF);10/04/2023
GUILHERME MUSSI;2023;20238503;Comissão;R$ 2,156,039,97;PR;Ensino Superior;Segurança Pública;MG (UF);21/02/2023
CARLOS ZARATTINI;2023;20237183;Individual;R$ 1,961,523,34;DF;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;PE (UF);16/03/2023
GUILHERME MUSSI;2023;20239076;Comissão;R$ 1,158,787,12;SC;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;BA (UF);20/02/2023
EDUARDO BARBOSA;2023;20234025;Comissão;R$ 1,489,548,99;SC;Saneamento Básico;Saneamento Básico;BA (UF);03/09/2023
HERCÍLIO DINIZ FILHO;2023;20231792;Individual;R$ 1,240,731,80;BA;Ensino Fundamental;Ensino Médio;DF (UF);24/11/2023
FELIPE BORNIER;2023;20237670;Bancada;R$ 771,765,95;RS;Atenção Básica à Saúde;Vigilância Epidemiológica;BA (UF);23/09/2023
DEPUTADO HERCÍLIO DINIZ;2023;20238604;Comissão;R$ 2,785,265,55;GO;Ensino Fundamental;Educação Infantil;RJ (UF);06/02/2023
ALENCAR SANTANA;2023;20237602;Comissão;R$ 3,333,161,43;DF;Segurança Pública;Infraestrutura Urbana;PE (UF);21/04/2023
ELICORRÊA;2023;20232442;Individual;R$ 269,202,39;BA;Vigilância Epidemiológica;Atenção Básica à Saúde;PE (UF);19/04/2023
ELICORRÊA;2023;20232431;Bancada;R$ 1,033,124,74;PR;Infraestrutura Urbana;Ensino Médio;SC (UF);19/11/2023
JULIO CESAR RIBEIRO;2023;20235785;Individual;R$ 4,207,971,16;BA;Assistência Hospitalar e Ambulatorial;Ensino Superior;PE (UF);11/04/2023
ELICORRÊA FILHO;2023;20234215;Comissão;R$ 1,553,788,12;RS;Atenção Básica à Saúde;Ensino Médio;PE (UF);12/10/2023
HERCÍLIO DINIZ;2023;20233813;Comissão;R$ 1,693,370,85;PR;Saneamento Básico;Saneamento Básico;RJ (UF);13/08/2023
ELICORRÊA;2023;20233175;Individual;R$ 2,648,445,67;GO;Atenção Básica à Saúde;Educação Infantil;GO (UF);04/04/2023
CARLOS ZARATTINI FILHO;2023;20233287;Bancada;R$ 1,851,939,57;SP;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;GO (UF);01/02/2023
BACELAR;2023;20236892;Bancada;R$ 2,768,468,28;RJ;Infraestrutura Urbana;Vigilância Epidemiológica;PR (UF);19/10/2023
GUILHERME MUSSI FILHO;2023;20231933;Bancada;R$ 3,134,976,67;PR;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;PR (UF);09/08/2023
BACELAR;2023;20238777;Comissão;R$ 725,851,93;RJ;Educação Infantil;Ensino Médio;MG (UF);14/04/2023
ELICORRÊA;2023;20231002;Bancada;R$ 1,637,410,11;BA;Assistência Hospitalar e Ambulatorial;Saneamento Básico;BA (UF);11/01/2023
DEPUTADO ALENCAR SANTANA;2023;20236034;Bancada;R$ 1,507,845,24;RJ;Ensino Fundamental;Ensino Fundamental;RJ (UF);11/05/2023
EDUARDO BARBOSA FILHO;2023;20231084;Bancada;R$ 4,026,763,72;DF;Vigilância Epidemiológica;Ensino Superior;GO (UF);27/08/2023
GUILHERME MUSSI FILHO;2023;20236028;Individual;R$ 4,117,735,38;PE;Segurança Pública;Ensino Superior;SP (UF);14/10/2023
CARLOS ZARATTINI;2023;20231554;Individual;R$ 1,861,465,48;GO;Assistência Hospitalar e Ambulatorial;Educação Infantil;SP (UF);25/10/2023
CARLOS ZARATTINI;2023;20238126;Individual;R$ 4,885,945,32;PE;Ensino Superior;Educação Infantil;BA (UF);20/06/2023
ALENCAR SANTANA FILHO;2023;20237025;Bancada;R$ 3,747,489,23;MG;Saneamento Básico;Assistência Hospitalar e Ambulatorial;PE (UF);01/12/2023
DANIEL ALMEIDA FILHO;2023;20238203;Comissão;R$ 425,220,67;DF;Atenção Básica à Saúde;Ensino Superior;GO (UF);12/10/2023
ALENCAR SANTANA;2023;20231220;Comissão;R$ 2,299,189,90;PE;Educação Infantil;Vigilância Epidemiológica;SP (UF);11/10/2023
EDUARDO BARBOSA;2023;20231848;Individual;R$ 137,830,11;SC;Ensino Médio;Educação Infantil;GO (UF);20/07/2023
DEPUTADO ELICORRÊA;2023;20238137;Comissão;R$ 2,851,454,76;MG;Atenção Básica à Saúde;Vigilância Epidemiológica;MG (UF);11/01/2023
HERCÍLIO DINIZ;2023;20238580;Bancada;R$ 2,586,156,90;PR;Ensino Médio;Ensino Superior;PR (UF);10/03/2023
FELIPE BORNIER;2023;20239896;Comissão;R$ 371,018,00;SP;Educação Infantil;Assistência Hospitalar e Ambulatorial;PR (UF);07/03/2023
ELICORRÊA;2023;20231108;Individual;R$ 474,704,18;DF;Ensino Fundamental;Ensino Fundamental;SP (UF);04/09/2023
DEPUTADO ALENCAR SANTANA;2023;20239491;Individual;R$ 2,070,163,01;SC;Saneamento Básico;Atenção Básica à Saúde;RS (UF);09/01/2023
JULIO CESAR RIBEIRO;2023;20233680;Bancada;R$ 905,726,23;SP;Segurança Pública;Vigilância Epidemiológica;SP (UF);10/01/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20238707;Individual;R$ 1,126,056,75;BA;Saneamento Básico;Ensino Médio;BA (UF);23/04/2023
CARLOS ZARATTINI;2023;20233590;Individual;R$ 3,906,901,95;SP;Educação Infantil;Ensino Médio;SC (UF);04/09/2023
DEPUTADO HERCÍLIO DINIZ;2023;20234430;Individual;R$ 2,283,144,77;SC;Ensino Médio;Vigilância Epidemiológica;PR (UF);18/04/2023
GUILHERME MUSSI FILHO;2023;20237078;Comissão;R$ 1,396,067,42;PR;Atenção Básica à Saúde;Vigilância Epidemiológica;MG (UF);22/07/2023
CARLOS ZARATTINI;2023;20233226;Bancada;R$ 4,628,748,23;RJ;Educação Infantil;Infraestrutura Urbana;PR (UF);13/12/2023
DANIEL ALMEIDA;2023;20238457;Bancada;R$ 752,621,00;BA;Segurança Pública;Saneamento Básico;SP (UF);25/03/2023
HERCÍLIO DINIZ;2023;20233960;Comissão;R$ 4,756,977,24;RJ;Educação Infantil;Assistência Hospitalar e Ambulatorial;RS (UF);14/02/2023
ELICORRÊA;2023;20233977;Comissão;R$ 4,551,273,35;MG;Ensino Superior;Educação Infantil;SP (UF);04/10/2023
BACELAR;2023;20233864;Bancada;R$ 327,567,35;PR;Saneamento Básico;Saneamento Básico;MG (UF);26/01/2023
JULIO CESAR RIBEIRO;2023;20233122;Comissão;R$ 4,334,609,14;SP;Assistência Hospitalar e Ambulatorial;Saneamento Básico;GO (UF);28/02/2023
