Posicao,Nome,UF,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
1,Marcos Tavares,,207,207,"PEC, PL"
2,Duda Ramos,,199,199,"PEC, PL, PLP"
3,Jonas Donizette,,158,158,"PEC, PL, PLP, PRC"
4,Amom Mandel,,132,132,"PEC, PL"
5,Marcos Pollon,,85,85,"PEC, PL, PLP, PRC"
6,Kim Kataguiri,,82,82,"PEC, PL, PLP, PRC"
7,Evair Vieira de Melo,,76,76,"PEC, PL, PLP, PRC"
8,Dr. Zacharias Calil,,73,73,"PEC, PL, PLP"
9,Laura Carneiro,,70,70,"PEC, PL, PLP, PRC"
10,Dr. Fernando Máximo,,66,66,"PEC, PL, PLP, PRC"
11,Alberto Fraga,,65,65,"PEC, PL, PLP, PRC"
12,Dayany Bittencourt,,63,63,"PEC, PL, PLP, PRC"
13,Daniela Reinehr,,61,61,"PEC, PL, PLP"
14,José Medeiros,,60,60,"PEC, PL, PLP, PRC"
15,Pompeo de Mattos,,57,57,"PEC, PL, PLP"
16,Capitão Alden,,54,54,"PEC, PL, PLP"
17,Aureo Ribeiro,,54,54,"PEC, PL, PLP"
18,Capitão Alberto Neto,,53,53,"PEC, PL"
19,Adriana Ventura,,53,53,"PEC, PL, PLP, PRC"
20,Célio Studart,,50,50,"PEC, PL, PLP"
21,Renata Abreu,,48,48,"PEC, PL, PLP, PRC"
22,João Daniel,,48,48,"PEC, PL"
23,Defensor Stélio Dener,,46,46,"PEC, PL, PLP"
24,Cabo Gilberto Silva,,45,45,"PEC, PL"
25,Capitão Augusto,,45,45,"PEC, PL, PLP"
26,Marcelo Crivella,,45,45,"PEC, PL, PLP, PRC"
27,Silvye Alves,,45,45,"PEC, PL"
28,Duarte Jr.,,44,44,"PEC, PL, PRC"
29,Sargento Portugal,,44,44,"PEC, PL, PLP"
30,Pedro Aihara,,43,43,"PEC, PL"
31,Romero Rodrigues,,43,43,"PEC, PL"
32,Sanderson,,42,42,"PEC, PL, PLP"
33,Pastor Gil,,42,42,"PEC, PL"
34,Messias Donato,,41,41,"PEC, PL, PLP, PRC"
35,Luiz Lima,,41,41,"PEC, PL, PLP, PRC"
36,Zé Trovão,,40,40,"PEC, PL"
37,Delegado Caveira,,40,40,"PEC, PL, PLP, PRC"
38,Duda Salabert,,38,38,"PEC, PL, PRC"
39,Bibo Nunes,,38,38,"PEC, PL, PLP"
40,Helio Lopes,,37,37,"PEC, PL, PLP, PRC"
41,Delegado Bruno Lima,,36,36,"PEC, PL"
42,Raimundo Santos,,36,36,"PEC, PL, PLP"
43,Fred Linhares,,35,35,"PEC, PL, PLP"
44,Zucco,,34,34,"PEC, PL, PRC"
45,Carlos Jordy,,34,34,"PEC, PL, PLP"
46,Fernanda Melchionna,,34,34,"PEC, PL, PLP, PRC"
47,Rogéria Santos,,34,34,"PEC, PL"
48,Maurício Carvalho,,33,33,"PEC, PL, PRC"
49,Lucio Mosquini,,33,33,"PEC, PL"
50,Max Lemos,,32,32,"PEC, PL, PLP"
51,Luiz Carlos Hauly,,32,32,"PEC, PL, PLP, PRC"
52,Marcel van Hattem,,32,32,"PEC, PL, PLP, PRC"
53,Delegado Paulo Bilynskyj,,32,32,"PEC, PL"
54,Coronel Assis,,32,32,"PEC, PL, PLP, PRC"
55,Leo Prates,,32,32,"PEC, PL, PLP"
56,Carla Dickson,,32,32,"PEC, PL"
57,Ricardo Salles,,31,31,"PEC, PL, PLP, PRC"
58,Rodrigo Valadares,,31,31,"PEC, PL"
59,Rosangela Moro,,31,31,"PEC, PL"
60,Clodoaldo Magalhães,,31,31,"PEC, PL, PLP"
61,Adilson Barroso,,31,31,"PEC, PL"
62,Nelson Barbudo,,30,30,"PEC, PL"
63,Gilson Marques,,30,30,"PEC, PL, PLP, PRC"
64,Talíria Petrone,,30,30,"PEC, PL, PRC"
65,Nitinho,,30,30,"PEC, PL"
66,Mauricio Marcon,,30,30,"PEC, PL, PLP"
67,Sargento Fahur,,30,30,"PEC, PL, PLP"
68,Nicoletti,,29,29,"PEC, PL, PLP"
69,Bruno Ganem,,29,29,"PEC, PL"
70,Roberta Roma,,29,29,"PEC, PL"
71,Gustavo Gayer,,29,29,"PEC, PL"
72,Rodolfo Nogueira,,29,29,"PEC, PL"
73,Giovani Cherini,,29,29,"PEC, PL, PLP"
74,Célia Xakriabá,,29,29,"PEC, PL, PLP, PRC"
75,Camila Jara,,29,29,"PEC, PL"
76,Delegada Adriana Accorsi,,28,28,"PEC, PL"
77,Sargento Gonçalves,,28,28,"PEC, PL"
78,Luiz Philippe de Orleans e Bragança,,27,27,"PEC, PL, PLP, PRC"
79,Dorinaldo Malafaia,,27,27,"PEC, PL, PRC"
80,Marx Beltrão,,27,27,"PEC, PL"
81,Pastor Henrique Vieira,,27,27,"PEC, PL, PRC"
82,Reimont,,27,27,"PEC, PL, PLP"
83,Tabata Amaral,,27,27,"PEC, PL, PLP, PRC"
84,Murilo Galdino,,27,27,"PEC, PL"
85,Chris Tonietto,,27,27,"PEC, PL, PLP, PRC"
86,Rafael Brito,,26,26,"PEC, PL, PLP, PRC"
87,Sóstenes Cavalcante,,26,26,"PEC, PL, PLP, PRC"
88,Professora Luciene Cavalcante,,26,26,"PEC, PL, PLP, PRC"
89,Ricardo Ayres,,26,26,"PEC, PL, PLP, PRC"
90,Nilto Tatto,,26,26,"PEC, PL, PLP, PRC"
91,Pezenti,,25,25,"PEC, PL, PLP"
92,Denise Pessôa,,25,25,"PEC, PL, PLP"
93,Gilson Daniel,,25,25,"PEC, PL, PLP, PRC"
94,Sidney Leite,,25,25,"PEC, PL, PLP"
95,Delegado Éder Mauro,,25,25,"PEC, PL, PRC"
96,Julia Zanatta,,25,25,"PEC, PL, PLP"
97,Coronel Meira,,25,25,"PEC, PL, PLP"
98,Hildo Rocha,,25,25,"PEC, PL, PRC"
99,Roberto Duarte,,25,25,"PEC, PL"
100,Eduardo da Fonte,,25,25,"PEC, PL"
101,José Guimarães,,24,24,"PEC, PL, PLP"
102,Cobalchini,,24,24,"PEC, PL"
103,Coronel Ulysses,,24,24,"PEC, PL, PRC"
104,General Girão,,24,24,"PEC, PL"
105,Rubens Pereira Júnior,,24,24,"PEC, PL, PLP"
106,Junio Amaral,,23,23,"PEC, PL, PLP"
107,André Fernandes,,23,23,"PEC, PL, PRC"
108,Erika Hilton,,23,23,"PEC, PL, PLP, PRC"
109,Enfermeira Rejane,,23,23,"PEC, PL"
