Posição,Deputado,Qtd Emendas,Valor Total,Valor Médio,Maior Emenda,Menor Emenda
1,Jorge Braz,9,53973431.00,5997047.888888888889,19788182.00,251906.00
2,Fabio Schiochet,3,32103401.00,10701133.666666666667,16051700.00,1454209.00
3,Joseildo Ramos,3,32103401.00,10701133.666666666667,16051700.00,1629209.00
4,Rubens Otoni,3,32103400.00,10701133.333333333333,15811308.00,6354000.00
5,Alex Santana,6,32103398.00,5350566.333333333333,16051701.00,200000.00
6,Waldenor Pereira,8,32103223.42,4012902.927500000000,13951697.00,299827.42
7,Beto Pereira,4,32088666.00,8022166.500000000000,16051698.00,3379131.00
8,Marcos Pereira,11,32083522.00,2916683.818181818182,4887627.00,1388816.00
9,Junior Lourenço,5,32078396.00,6415679.200000000000,15551253.00,325841.00
10,Professora Luciene Cavalcante,8,32028132.00,4003516.500000000000,13865951.00,100000.00
11,Alencar Santana,19,32002636.70,1684349.300000000000,6817971.00,100000.00
12,Alex Manente,2,31841529.00,15920764.500000000000,16030221.00,15811308.00
13,Tadeu Veneri,11,29900855.00,2718259.545454545455,14113550.00,150000.00
14,Patrus Ananias,20,28849717.99,1442485.899500000000,9235298.00,60.00
15,Marcel van Hattem,10,25888336.80,2588833.680000000000,13941857.00,50.00
