id,uri,siglaTipo,codTipo,numero,ano,ementa
2565182,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565182,SBT,255,1,0,"Altera o art. 171 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar a pena do crime de estelionato quando a conduta for praticada contra a mulher, por razões da condição do sexo feminino."
2565181,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565181,REQ,523,188,2025,"Requer a convocação do Excelentíssimo Senhor Ministro de Estado da Defesa para prestar esclarecimentos, perante a Comissão de Relações Exteriores e de Defesa Nacional (CREDN), sobre  o vazamento de dados sensíveis de milhares de brasileiros no SisGCORP."
2565180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565180,REQ,523,187,2025,"Requer a convocação do Excelentíssimo Senhor Ministro de Estado da Defesa para prestar esclarecimentos, perante a Comissão de Relações Exteriores e de Defesa Nacional (CREDN), sobre  o indisponibilidade do serviço de registro de prensas de recarga no SiSGCORP."
2565179,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565179,REQ,147,3924,2025,"Requer a apensação do PL nº 1.863/2025 ao PL nº 330/2025,  por tratarem de matérias correlatas."
2565178,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565178,MSC,412,1360,2025,"Comunica o Excelentíssimo Senhor Presidente da República, a sanção do Projeto de Lei Complementar nº 92, de 2024, que ""Altera a Lei Complementar n 116, de 31 de julho de 2003, para explicitar que o Imposto Sobre Serviços de Qualquer Natureza (ISS) incidente sobre os serviços de guincho intramunicipal, de guindaste e de içamento é devido no local da execução da obra"" e restitui para o arquivo do Congresso Nacional, autógrafo do texto ora convertido na Lei Complementar nº 218 , de 24  setembro de 2025."
2565177,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565177,REQ,311,3923,2025,Requer a retirada de tramitação do PL 4792/2025. .
2565176,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565176,PRL,190,1,0,"Parecer da Relatora, Dep. Denise Pessôa (PT-RS), pela aprovação."
2565175,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565175,RIC,148,6388,2025,"Solicita informações ao Ministério das Relações Exteriores acerca da viagem do Presidente da República aos Estados Unidos da América, por ocasião de sua participação na Assembleia Geral da Organização das Nações Unidas (ONU)."
2565174,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565174,PL,139,4797,2025,"Altera a Lei nº 8.069, de 13 de julho de 1990 – Estatuto da Criança e do Adolescente, para ampliar o prazo máximo da medida socioeducativa de internação nos casos de ato infracional com resultado morte, estender a idade máxima para o cumprimento da medida e dispor sobre a obrigatoriedade de separação de internos maiores de dezoito anos."
2565173,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565173,REQ,609,3922,2025,"Requer o registro da Frente Parlamentar Mista Pelo Apoio e Fortalecimento das Câmaras Municipais de Vereadores, nos termos do Ato Mesa nº 69, de 10/11/2005."
2565172,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565172,REQ,147,40,2025,"Altera a legislação do imposto sobre a renda para instituir a redução do imposto devido nas bases de cálculo mensal e anual e a tributação mínima para as pessoas físicas que auferem altas rendas, e dá outras providências."
2565171,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565171,REQ,147,39,2025,"Altera a legislação do imposto sobre a renda para instituir a redução do imposto devido nas bases de cálculo mensal e anual e a tributação mínima para as pessoas físicas que auferem altas rendas, e dá outras providências."
2565170,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565170,SBT,255,1,0,
2565169,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565169,PRL,190,2,0,"Parecer da Relatora, Dep. Dayany Bittencourt (UNIÃO-CE), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária do Projeto de Lei 1535/2024, dos PL´s 1548/2024, 1550/2024, e 1575/2024, apensados; e, no mérito, pela aprovação do PL 1535/2024, e dos PL´s 1548/2024, 1550/2024, 1575/2024, apensados, com substitutivo."
2565168,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565168,PRLP,891,6,0,"Institui a Política Nacional de Economia Circular, estabelece mecanismos de estímulo, parâmetros e instrumentos de fortalecimento da responsabilidade na gestão corporativa, a produção e o consumo sustentáveis, e dá outras providências."
2565167,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565167,PRL,190,1,0,"Parecer da Relatora, Dep. Laura Carneiro (PSD-RJ), pela compatibilidade e adequação financeira e orçamentária do Projeto de Lei 1827/2019, dos PLs 41/2021, 4442/2021, e PL 2466/2022, apensados, do Substitutivo adotado pela Comissão de Previdência, Assistência Social, Infância, Adolescência e Família e do Substitutivo adotado pela Comissão de Trabalho."
2565166,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565166,PL,139,4796,2025,"Dispõe proventos proporcionais ou integrais a militares ativos ou inativos punidos por atos culposos em serviço ou em decorrência dele, ou ainda tenha sido excluido mediante processo disciplinar ou criminal, desde que tenha cumpridos os requisitos legais mínimos de tempo de contribuição e não tenha sido punido por crimes dolosos, nos termos da Lei nº 14.751/2023, e dá outras providências."
2565165,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565165,PAR,187,1,0,Parecer da Comissão  (CREDN) ao PL 478/2025
2565164,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565164,SBT-A,701,1,0,Substitutivo adotado pela Comissão ao PL 182/2025
2565163,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565163,PAR,187,1,0,Parecer da Comissão  (CREDN) ao PL 182/2025
2565162,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565162,PDL,554,757,2025,"Aprova o texto do Anexo VI do Protocolo ao Tratado da Antártida sobre Proteção ao Meio Ambiente (“Protocolo de Madri”), adotado em 2005"
2565161,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565161,PDL,554,756,2025,"Aprova o texto do Tratado de Assistência Jurídica Mútua em Matéria Penal entre a República Federativa do Brasil e o Japão, assinado em Tóquio, em 25 de janeiro de 2024."
2565160,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565160,PAR,187,1,0,Parecer da Comissão  (CREDN) ao PL 3446/2024
2565159,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565159,PAR,187,1,0,Parecer da Comissão  (CREDN) ao PL 2239/2024
2565158,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2565158,PAR,187,1,0,Parecer da Comissão  (CREDN) ao PL 6999/2017
