Posicao,Nome,Total_Proposicoes,Total_Autorias,Tipos_Proposicoes
1,Marcos Tavares,219,219,"PEC, PL"
2,Duda Ramos,201,201,"PEC, PL, PLP"
3,Jonas Donizette,158,158,"PEC, PL, PLP, PRC"
4,Amom Mandel,132,132,"PEC, PL"
5,Marcos Pollon,87,87,"PEC, PL, PLP, PRC"
6,Kim Kataguiri,84,84,"PEC, PL, PLP, PRC"
7,Evair Vieira de Melo,76,76,"PEC, PL, PLP, PRC"
8,Dr. Zacharias Calil,73,73,"PEC, PL, PLP"
9,Laura Carneiro,70,70,"PEC, PL, PLP, PRC"
10,Dr. Fernando Máximo,66,66,"PEC, PL, PLP, PRC"
11,Alberto Fraga,65,65,"PEC, PL, PLP, PRC"
12,Dayany Bittencourt,64,64,"PEC, PL, PLP, PRC"
13,Daniela Reinehr,61,61,"PEC, PL, PLP"
14,Pompeo de Mattos,61,61,"PEC, PL, PLP"
15,José Medeiros,60,60,"PEC, PL, PLP, PRC"
16,Capitão Alden,55,55,"PEC, PL, PLP"
17,Aureo Ribeiro,54,54,"PEC, PL, PLP"
18,Capitão Alberto Neto,53,53,"PEC, PL"
19,Adriana Ventura,53,53,"PEC, PL, PLP, PRC"
20,Célio Studart,50,50,"PEC, PL, PLP"
21,Renata Abreu,48,48,"PEC, PL, PLP, PRC"
22,Cabo Gilberto Silva,48,48,"PEC, PL"
23,João Daniel,48,48,"PEC, PL"
24,Defensor Stélio Dener,46,46,"PEC, PL, PLP"
25,Marcelo Crivella,45,45,"PEC, PL, PLP, PRC"
26,Romero Rodrigues,45,45,"PEC, PL"
27,Capitão Augusto,45,45,"PEC, PL, PLP"
28,Silvye Alves,45,45,"PEC, PL"
29,Sargento Portugal,44,44,"PEC, PL, PLP"
30,Duarte Jr.,44,44,"PEC, PL, PRC"
31,Pedro Aihara,43,43,"PEC, PL"
32,Pastor Gil,42,42,"PEC, PL"
33,Sanderson,42,42,"PEC, PL, PLP"
34,Luiz Lima,41,41,"PEC, PL, PLP, PRC"
35,Zé Trovão,41,41,"PEC, PL"
36,Messias Donato,41,41,"PEC, PL, PLP, PRC"
37,Delegado Caveira,40,40,"PEC, PL, PLP, PRC"
38,Helio Lopes,38,38,"PEC, PL, PLP, PRC"
39,Duda Salabert,38,38,"PEC, PL, PRC"
40,Bibo Nunes,38,38,"PEC, PL, PLP"
41,Raimundo Santos,36,36,"PEC, PL, PLP"
42,Delegado Bruno Lima,36,36,"PEC, PL"
43,Fred Linhares,35,35,"PEC, PL, PLP"
44,Zucco,35,35,"PEC, PL, PRC"
45,Leo Prates,35,35,"PEC, PL, PLP"
46,Carlos Jordy,34,34,"PEC, PL, PLP"
47,Fernanda Melchionna,34,34,"PEC, PL, PLP, PRC"
48,Rogéria Santos,34,34,"PEC, PL"
49,Lucio Mosquini,33,33,"PEC, PL"
50,Maurício Carvalho,33,33,"PEC, PL, PRC"
51,Luiz Carlos Hauly,33,33,"PEC, PL, PLP, PRC"
52,Delegado Paulo Bilynskyj,32,32,"PEC, PL"
53,Rosangela Moro,32,32,"PEC, PL"
54,Marcel van Hattem,32,32,"PEC, PL, PLP, PRC"
55,Coronel Assis,32,32,"PEC, PL, PLP, PRC"
56,Max Lemos,32,32,"PEC, PL, PLP"
57,Clodoaldo Magalhães,32,32,"PEC, PL, PLP"
58,Carla Dickson,32,32,"PEC, PL"
59,Rodrigo Valadares,31,31,"PEC, PL"
60,Ricardo Salles,31,31,"PEC, PL, PLP, PRC"
61,Adilson Barroso,31,31,"PEC, PL"
62,Talíria Petrone,31,31,"PEC, PL, PRC"
63,Sargento Gonçalves,30,30,"PEC, PL"
64,Gilson Marques,30,30,"PEC, PL, PLP, PRC"
65,Mauricio Marcon,30,30,"PEC, PL, PLP"
66,Nitinho,30,30,"PEC, PL"
67,Nelson Barbudo,30,30,"PEC, PL"
68,Nicoletti,30,30,"PEC, PL, PLP"
69,Sargento Fahur,30,30,"PEC, PL, PLP"
70,Rodolfo Nogueira,29,29,"PEC, PL"
71,Roberta Roma,29,29,"PEC, PL"
72,Bruno Ganem,29,29,"PEC, PL"
73,Giovani Cherini,29,29,"PEC, PL, PLP"
74,Gustavo Gayer,29,29,"PEC, PL"
75,Camila Jara,29,29,"PEC, PL"
76,Célia Xakriabá,29,29,"PEC, PL, PLP, PRC"
77,Delegada Adriana Accorsi,28,28,"PEC, PL"
78,Reimont,27,27,"PEC, PL, PLP"
79,Marx Beltrão,27,27,"PEC, PL"
80,Murilo Galdino,27,27,"PEC, PL"
81,Tabata Amaral,27,27,"PEC, PL, PLP, PRC"
82,Chris Tonietto,27,27,"PEC, PL, PLP, PRC"
83,Pastor Henrique Vieira,27,27,"PEC, PL, PRC"
84,Dorinaldo Malafaia,27,27,"PEC, PL, PRC"
85,Luiz Philippe de Orleans e Bragança,27,27,"PEC, PL, PLP, PRC"
86,Sidney Leite,26,26,"PEC, PL, PLP"
87,Ricardo Ayres,26,26,"PEC, PL, PLP, PRC"
88,Professora Luciene Cavalcante,26,26,"PEC, PL, PLP, PRC"
89,Nilto Tatto,26,26,"PEC, PL, PLP, PRC"
90,Rafael Brito,26,26,"PEC, PL, PLP, PRC"
91,Roberto Duarte,26,26,"PEC, PL"
92,Sóstenes Cavalcante,26,26,"PEC, PL, PLP, PRC"
93,Gilson Daniel,25,25,"PEC, PL, PLP, PRC"
94,Hildo Rocha,25,25,"PEC, PL, PRC"
95,Coronel Meira,25,25,"PEC, PL, PLP"
96,Pezenti,25,25,"PEC, PL, PLP"
97,Eduardo da Fonte,25,25,"PEC, PL"
98,Denise Pessôa,25,25,"PEC, PL, PLP"
99,Delegado Éder Mauro,25,25,"PEC, PL, PRC"
100,Julia Zanatta,25,25,"PEC, PL, PLP"
101,Rubens Pereira Júnior,25,25,"PEC, PL, PLP"
102,General Pazuello,24,24,"PEC, PL, PLP"
103,José Guimarães,24,24,"PEC, PL, PLP"
104,General Girão,24,24,"PEC, PL"
105,Cobalchini,24,24,"PEC, PL"
